review_text,rating,actual_sentiment,predicted_lr,predicted_nb
thin and chinsy i could even bother returning it i threw them out  - the second they touched the pot it disintegrated,1.0,Negative,Negative,Negative
"purchased these to go in a single cup maker I just purchased that came with an unusual sized ground coffee filter insert.  The taller paper inserts are a narrower than the cup it's self but are just the right height, works good.  Easy to scoop out the used paper insert - just remember not to overfill.  The shorter paper inserts are a tiny bit wider but not tall enough for this particular reusable filter cup.  I never hesitate to update my reviews should new info seem useful, but in this case, I'm pretty sure there will be little else to say... one hopes!",5.0,Positive,Positive,Positive
Makesure you watch a video on how to install for tricks to make it easy to install. It foxed our problem of ice forming in the deep freezer.,5.0,Positive,Positive,Positive
Fits great and able to use - much easier to use I instead of filters,5.0,Positive,Positive,Positive
"Works great,  but get a air freshener for the area it’s to be used.  For the first day or two it made the whole house stink while running.  Shut it off a couple days and turned back on still a oil odor but not as bad with a battery powered air freshener.  Makes ice and works good though at least.",5.0,Positive,Positive,Positive
We have a whirlpool and this worked perfectly.  Installation took 45 minutes.  Recommend people watch a you tube video before installing.  Delivery was quicker than expected.  Very pleased.,5.0,Positive,Positive,Positive
This product may work for some but just didn't work for me.,2.0,Negative,Negative,Positive
Someone mentioned crystal clear ice. I was so excited but eh not crystal clear ice. The water tastes fine but Oregon water always taste fine.,3.0,Neutral,Positive,Positive
This gadget is a simple solution to making sure hoses stay in the drain. Fantastic quality at a good price.,5.0,Positive,Positive,Positive
Good item,5.0,Positive,Positive,Positive
Nothing compares to name brand Chemex...excellent,5.0,Positive,Positive,Positive
Easy to use and works great,4.0,Positive,Positive,Positive
"Good product for our Samsung refrigerator, we were in need of a replacement..",5.0,Positive,Positive,Positive
great for our humidifier,5.0,Positive,Positive,Positive
"So much more cost effective then the name brand ones and work just as well. Does not leak, fits perfectly and no weird taste!",5.0,Positive,Positive,Positive
"I liked the price, which is much better than the Samsung filters.",4.0,Positive,Positive,Positive
GREAT,5.0,Positive,Positive,Positive
Keeps food from getting stuck between your stove and countertop.,4.0,Positive,Positive,Positive
Seem to be good,5.0,Positive,Positive,Positive
Great money saving idea which brews great coffee. Disapointed that there are many much cheaper copies of the same thing on the market since we purchased this one.,3.0,Neutral,Positive,Positive
"These were more shallow than another set I had and do not cover the burners all the way because of that, but they seem like the paint is not too thin. I'm hoping over time the paint will endure.",5.0,Positive,Negative,Positive
Easy to install. Fits and works.,5.0,Positive,Positive,Positive
"Literally got up one morning, took the overnight load out the washer, turned on the timer, pushed Start... 🦗🦗. Understand, everyone whines about doing laundry, how it is never ending, blah blah blah. I do laundry 350 days a year @ an average of 5 loads a day. My Whirlpool has given me 7000+  loads of dry clothes since I bought it, so when the starting stopped, I chalked it up to 'it was her time'. Problem is I literally do not have the funds for a new dryer, any brand/any size. So I was determined to figure out what was wrong. YouTube, of course, had several decent 11+ minute videos. Does someone who washes/dries/folds/puts away 5 loads of laundry in addition to all the other 'life' have time to sift through all these videos? Maybe. But patience is something I can promise I don't have - lol. So I turned to TikTok and after literally weeks of searching (THANK GOD MY PARENTS LIVE NEXT DOOR AND HAVE AN AMAZING KENMORE DRYER 🙌🏻) I found a video by creator @AleciaAppliance that in less than 1 minute showed me how to diagnose, prepare, what to order and how to repair my dryer. (She said it was the issue 99% of the time.) Ordered the parts and within 15 minutes I had my dryer back in service. Time will tell how long this part lasts but at ≈$3.50 each, I'll take what I can get compared to hundreds and hundreds and hundreds of dollars.",5.0,Positive,Positive,Positive
Fits perfect. Works great great coffee no grounds. Awesome,5.0,Positive,Positive,Positive
WORKS GREAT,5.0,Positive,Positive,Positive
They were what I needed. Subs but they fit well enough.,5.0,Positive,Positive,Positive
Leaked.... had to buy one elsewhere.,1.0,Negative,Negative,Negative
Great with my new single serve coffee maker...like to use my own coffee not the pods,5.0,Positive,Positive,Positive
Great product,5.0,Positive,Positive,Positive
"My husband makes these work, I can't seem to manage it. The coffee either ends up way too weak if I don't fill it up quite enough, or the thing clogs up if I overfill it. When I get that magical amount in, the coffee seems fine, if a bit watery. This will definitely do in a pinch and to help you be more economical, but it will take a little practice.",3.0,Neutral,Neutral,Positive
Good to have these; much healthier than the white bleached ones.,5.0,Positive,Positive,Positive
I have had nothing but issues with knobs from amazon and not one of the two from this set has already broken so getting fed up with this I want a know that does not snap the first time you turn it totally crap,1.0,Negative,Negative,Negative
"Installation was fairly straight forward, even without easy access on either side of the washer.  Having someone to hold the tub to the side was very helpful.  I've only had one unbalance incident since installing the kit compared to the load being unbalanced every load before the kit.",5.0,Positive,Positive,Positive
"I came here to post a review because these are the BEST refillable K-cups I have ever used, mainly because they are so easy to clean.  The wire mesh that makes up most of the basket makes these a breeze to rinse out.  The box of four gives me plenty to clean, dry & rotate throughout the day.  Maybe some reviewers got defective items, but all four of mine are perfect...the best I've used.",5.0,Positive,Positive,Positive
Easy update to an older stove,5.0,Positive,Positive,Positive
Bunn is a good quick cup of coffee,5.0,Positive,Positive,Positive
"Great product, good price, quick delivery....10+ all the way!!!!",5.0,Positive,Positive,Positive
